Total is: 15017 - Sizes are: [2, 15015] - Factors are: [2] and [3, 5, 7, 11, 13]
Total is: 10013 - Sizes are: [3, 10010] - Factors are: [3] and [2, 5, 7, 11, 13]
Total is:  6011 - Sizes are: [5, 6006]  - Factors are: [5] and [2, 3, 7, 11, 13]
Total is:  5011 - Sizes are: [6, 5005]  - Factors are: [2, 3] and [5, 7, 11, 13]
Total is:  4297 - Sizes are: [7, 4290]  - Factors are: [7] and [2, 3, 5, 11, 13]
Total is:  3013 - Sizes are: [10, 3003] - Factors are: [2, 5] and [3, 7, 11, 13]
Total is:  2741 - Sizes are: [11, 2730] - Factors are: [11] and [2, 3, 5, 7, 13]
Total is:  2323 - Sizes are: [13, 2310] - Factors are: [13] and [2, 3, 5, 7, 11]
Total is:  2159 - Sizes are: [14, 2145] - Factors are: [2, 7] and [3, 5, 11, 13]
Total is:  2017 - Sizes are: [15, 2002] - Factors are: [3, 5] and [2, 7, 11, 13]
Total is:  1451 - Sizes are: [21, 1430] - Factors are: [3, 7] and [2, 5, 11, 13]
Total is:  1387 - Sizes are: [22, 1365] - Factors are: [2, 11] and [3, 5, 7, 13]
Total is:  1181 - Sizes are: [26, 1155] - Factors are: [2, 13] and [3, 5, 7, 11]
Total is:  1031 - Sizes are: [1001, 30] - Factors are: [7, 11, 13] and [2, 3, 5]
Total is:   943 - Sizes are: [33, 910]  - Factors are: [3, 11] and [2, 5, 7, 13]
Total is:   893 - Sizes are: [35, 858]  - Factors are: [5, 7] and [2, 3, 11, 13]
Total is:   809 - Sizes are: [39, 770]  - Factors are: [3, 13] and [2, 5, 7, 11]
Total is:   757 - Sizes are: [715, 42]  - Factors are: [5, 11, 13] and [2, 3, 7]
Total is:   601 - Sizes are: [55, 546]  - Factors are: [5, 11] and [2, 3, 7, 13]
Total is:   527 - Sizes are: [65, 462]  - Factors are: [5, 13] and [2, 3, 7, 11]
Total is:   521 - Sizes are: [455, 66]  - Factors are: [5, 7, 13] and [2, 3, 11]
Total is:   499 - Sizes are: [429, 70]  - Factors are: [3, 11, 13] and [2, 5, 7]
Total is:   467 - Sizes are: [77, 390]  - Factors are: [7, 11] and [2, 3, 5, 13]
Total is:   463 - Sizes are: [385, 78]  - Factors are: [5, 7, 11] and [2, 3, 13]
Total is:   421 - Sizes are: [91, 330]  - Factors are: [7, 13] and [2, 3, 5, 11]
Total is:   391 - Sizes are: [105, 286] - Factors are: [3, 5, 7] and [2, 11, 13]
Total is:   383 - Sizes are: [273, 110] - Factors are: [3, 7, 13] and [2, 5, 11]
Total is:   361 - Sizes are: [231, 130] - Factors are: [3, 7, 11] and [2, 5, 13]
Total is:   353 - Sizes are: [143, 210] - Factors are: [11, 13] and [2, 3, 5, 7]
Total is:   349 - Sizes are: [195, 154] - Factors are: [3, 5, 13] and [2, 7, 11]
Total is:   347 - Sizes are: [165, 182] - Factors are: [3, 5, 11] and [2, 7, 13]
