"Mod name","Registry name","Item ID","Display name"
"Angel Ring","angelring:itemdiamondring",3429,"Diamond Ring"
"Angel Ring","angelring:itemring",3428,"Angel Ring"
"Apotheosis","apotheosis:ancient_shard",1566,"Ancient Rarity Shard"
"Apotheosis","apotheosis:ancient_tome",1572,"Ancient Affix Tome"
"Apotheosis","apotheosis:armor_chest_book",1539,"Tome of Chestplates"
"Apotheosis","apotheosis:armor_feet_book",1541,"Tome of Boots"
"Apotheosis","apotheosis:armor_head_book",1538,"Tome of Helmets"
"Apotheosis","apotheosis:armor_legs_book",1540,"Tome of Legplates"
"Apotheosis","apotheosis:beeshelf",1557,"Beeshelf"
"Apotheosis","apotheosis:blazing_hellshelf",1549,"Blazing Hellshelf"
"Apotheosis","apotheosis:boss_summoner",1560,"Apotheotic Boss Summoner"
"Apotheosis","apotheosis:bow_book",1545,"Tome of the Archers"
"Apotheosis","apotheosis:broadhead_arrow",1576,"Broadhead Arrow"
"Apotheosis","apotheosis:common_shard",1561,"Common Rarity Shard"
"Apotheosis","apotheosis:common_tome",1567,"Common Affix Tome"
"Apotheosis","apotheosis:crystal_seashelf",1552,"Crystalline Seashelf"
"Apotheosis","apotheosis:diamond_mining_arrow",1579,"Diamond Mining Arrow"
"Apotheosis","apotheosis:digger_book",1543,"Tome of the Miners"
"Apotheosis","apotheosis:draconic_endshelf",1555,"Draconic Endshelf"
"Apotheosis","apotheosis:endshelf",1554,"Endshelf"
"Apotheosis","apotheosis:epic_shard",1564,"Epic Rarity Shard"
"Apotheosis","apotheosis:epic_tome",1570,"Epic Affix Tome"
"Apotheosis","apotheosis:explosive_arrow",1577,"Explosive Arrow"
"Apotheosis","apotheosis:farmers_leash",1559,"Ender-Farmer's Lead"
"Apotheosis","apotheosis:fishing_rod_book",1544,"Tome of the Fishers"
"Apotheosis","apotheosis:glowing_hellshelf",1550,"Glowing Hellshelf"
"Apotheosis","apotheosis:heart_seashelf",1553,"Heart-Forged Seashelf"
"Apotheosis","apotheosis:hellshelf",1548,"Hellshelf"
"Apotheosis","apotheosis:iron_mining_arrow",1578,"Iron Mining Arrow"
"Apotheosis","apotheosis:lucky_foot",1573,"Lucky Rabbit's Foot"
"Apotheosis","apotheosis:melonshelf",1558,"Melonshelf"
"Apotheosis","apotheosis:mythic_shard",1565,"Mythic Rarity Shard"
"Apotheosis","apotheosis:mythic_tome",1571,"Mythic Affix Tome"
"Apotheosis","apotheosis:null_book",1537,"Tome of the Others"
"Apotheosis","apotheosis:obsidian_arrow",1575,"Obsidian Arrow"
"Apotheosis","apotheosis:pearl_endshelf",1556,"Pearlescent Endshelf"
"Apotheosis","apotheosis:potion_charm",1574,"Invalid Potion Charm"
"Apotheosis","apotheosis:prismatic_altar",1546,"Altar of the Sea"
"Apotheosis","apotheosis:prismatic_web",1536,"Prismatic Cobweb"
"Apotheosis","apotheosis:rare_shard",1563,"Rare Rarity Shard"
"Apotheosis","apotheosis:rare_tome",1569,"Rare Affix Tome"
"Apotheosis","apotheosis:scrap_tome",1547,"Tome of Scrapping"
"Apotheosis","apotheosis:seashelf",1551,"Seashelf"
"Apotheosis","apotheosis:uncommon_shard",1562,"Uncommon Rarity Shard"
"Apotheosis","apotheosis:uncommon_tome",1568,"Uncommon Affix Tome"
"Apotheosis","apotheosis:weapon_book",1542,"Tome of Weaponry"
"Ars Nouveau","ars_nouveau:ab_alternating",6350,"Arcane Brick: Alternative"
"Ars Nouveau","ars_nouveau:ab_basket",6351,"Arcane Brick: Basketweave"
"Ars Nouveau","ars_nouveau:ab_clover",6363,"Arcane Brick: Clover"
"Ars Nouveau","ars_nouveau:ab_herring",6352,"Arcane Brick: Herringbone"
"Ars Nouveau","ars_nouveau:ab_mosaic",6353,"Arcane Brick: Mosaic"
"Ars Nouveau","ars_nouveau:ab_smooth",6362,"Arcane Brick: Smooth"
"Ars Nouveau","ars_nouveau:ab_smooth_slab",6361,"Arcane Brick: Smooth Slab"
"Ars Nouveau","ars_nouveau:allow_scroll",6310,"Item Scroll: Allow"
"Ars Nouveau","ars_nouveau:amplify_arrow",6319,"Augment Arrow: Amplify"
"Ars Nouveau","ars_nouveau:amulet_of_mana_boost",6305,"Amulet of Mana Boost"
"Ars Nouveau","ars_nouveau:amulet_of_mana_regen",6306,"Amulet of Mana Regen"
"Ars Nouveau","ars_nouveau:apprentice_boots",6282,"Mage Boots"
"Ars Nouveau","ars_nouveau:apprentice_hood",6285,"Mage Hood"
"Ars Nouveau","ars_nouveau:apprentice_leggings",6283,"Mage Leggings"
"Ars Nouveau","ars_nouveau:apprentice_robes",6284,"Mage Robes"
"Ars Nouveau","ars_nouveau:apprentice_spell_book",6291,"Mage's Spell Book"
"Ars Nouveau","ars_nouveau:arcane_brick",6274,"Arcane Brick (DEPRECATED)"
"Ars Nouveau","ars_nouveau:arcane_bricks",6341,"Arcane Bricks"
"Ars Nouveau","ars_nouveau:arcane_core",6349,"Arcane Core"
